int64_field_0,Agence_Gerante,Region_Proprietaire,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Ann__e_Construction_Mat,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,Valeur_Locative_Th_TR_IndM,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_nette_comptable,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference
0,522,58,Mat - 2758,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,BUB2463,DIECI,27/07/2018,02/06/2023,2018,52,83,"0,63",763,0,2018,0,109,0,1500,0
1,522,58,Mat - 2758,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,BUB2463,DIECI,27/07/2018,02/06/2023,2018,52,83,"0,63",1757,"61,64",2019,41,251,0,1500,315
2,522,58,Mat - 2758,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,BUB2463,DIECI,27/07/2018,02/06/2023,2018,52,83,"0,63",1778,"80,85",2020,65,254,0,1500,243
3,522,58,Mat - 2758,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,BUB2463,DIECI,27/07/2018,02/06/2023,2018,52,83,"0,63",1785,0,2021,49,255,0,1500,0
4,522,58,Mat - 2758,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,BUB2463,DIECI,27/07/2018,02/06/2023,2018,52,83,"0,63",1778,"125,44",2022,33,254,0,1500,157
5,658,61,Mat - 100082,O,EN LOCATION,052-0027 - CHARIOT TELESC. 7M,EQP,531-70B,JCB,23/10/2012,31/01/2023,2012,121,116,"1,05",44100,"18014,55",2018,183,252,3690,43000,35
6,658,61,Mat - 100082,O,EN LOCATION,052-0027 - CHARIOT TELESC. 7M,EQP,531-70B,JCB,23/10/2012,31/01/2023,2012,121,116,"1,05",43925,13853,2019,214,251,3690,43000,35
7,658,61,Mat - 100082,O,EN LOCATION,052-0027 - CHARIOT TELESC. 7M,EQP,531-70B,JCB,23/10/2012,31/01/2023,2012,121,116,"1,05",44450,"15910,4",2020,167,254,3690,43000,35
8,658,61,Mat - 100082,O,EN LOCATION,052-0027 - CHARIOT TELESC. 7M,EQP,531-70B,JCB,23/10/2012,31/01/2023,2012,121,116,"1,05",44625,"13604,62",2021,264,255,3690,43000,33
9,658,61,Mat - 100082,O,EN LOCATION,052-0027 - CHARIOT TELESC. 7M,EQP,531-70B,JCB,23/10/2012,31/01/2023,2012,121,116,"1,05",44450,"13260,61",2022,202,254,3690,43000,34
